december_source_serial,december_name,december_district,december_sector,december_cell,current_registry_entry_key,current_source_serial,current_name,current_district,current_sector_cell_raw,registry_match_score,registry_match_margin,name_score,district_match,sector_match,cell_match,professional_registration_match,phone_number,phone_source,phone_evidence_url,phone_evidence_reference,google_maps_url,maps_url_source,browser_match_status
180,PHARMACY HASHIMWE YESU Ltd,KAMONYI,RUNDA,GIHARA,retail-2026-05-177,177,PHARMACY HASHIMWE YESU Ltd,KAMONYI,RUNDA GIHARA,1.000,0.293,1.000,true,true,true,true,+250786259390,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kamonyi July-September 2026 duty roster,,,phone_from_public_evidence
181,REGOPHARMA Limited,KICUKIRO,KANOMBE,KABEZA,retail-2026-05-178,178,REGOPHARMA Limited,KICUKIRO,KANOMBE KABEZA,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
182,ROPH PHARMACY Ltd,BUGESERA,NYAMATA,NYAMATA,retail-2026-05-179,179,ROPH PHARMACY Ltd,BUGESERA,NYAMATA NYAMATA,1.000,0.493,1.000,true,true,true,true,+250788892650,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf,bugesera July-September 2026 duty roster,,,phone_from_public_evidence
183,SHUM PHARMA Ltd,KAMONYI,RUGARIKA,KIGESE,retail-2026-05-180,180,SHUM PHARMA Ltd,KAMONYI,RUGARIKA KIGESE,0.980,0.473,1.000,true,true,true,false,,,,,,,local_evidence_only
184,TRINIVIVE PHARMACY Ltd,KAYONZA,MUKARANGE,KAYONZA,retail-2026-05-181,181,TRINIVIVE PHARMACY Ltd,KAYONZA,MUKARANGE KAYONZA,1.000,0.512,1.000,true,true,true,true,+250788750525,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kayonza_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kayonza July-September 2026 duty roster,,,phone_from_public_evidence
185,UNIPHARMA B4,GASABO,KINYINYA,GACURIRO,retail-2026-05-182,182,UNIPHARMA B4,GASABO,KINYINYA GACURIRO,1.000,0.103,1.000,true,true,true,true,+250788771000,public_evidence_csv,https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=13&cHash=30bc917df2ca0795451708f3ec4706f2,MMI pharmacy partner directory page 13,,,phone_from_public_evidence
186,AERIS PHARMACY Ltd,GASABO,GISOZI,RUHANGO,retail-2026-05-183,183,AERIS PHARMACY Ltd,GASABO,GISOZI RUHANGO,1.000,0.153,1.000,true,true,true,true,+250788508707,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
187,ALPHA BETA PROGRESS PHARMACY LTD,KICUKIRO,NIBOYE,GATARE,retail-2026-05-184,184,ALPHA BETA PROGRESS PHARMACY LTD,KICUKIRO,NIBOYE GATARE,1.000,0.153,1.000,true,true,true,true,+250788646143,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
188,MURINDI-SUGIRA PHARMACY Ltd,KICUKIRO,NYARUGUNGA,KAMASHASHI,retail-2026-05-185,185,MURINDI -SUGIRA PHARMACY Ltd,KICUKIRO,NYARUGUNGA KAMASHASHI,1.000,0.240,1.000,true,true,true,true,+250788524208,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
189,PHARMA LUZ LTD,GASABO,KINYINYA,MURAMA,retail-2026-05-186,186,PHARMA LUZ LTD,GASABO,KINYINYA MURAMA,1.000,0.522,1.000,true,true,true,true,,,,,,,local_evidence_only
191,URUMULI PHARMACY Ltd,HUYE,NGOMA,BUTARE,retail-2026-05-188,188,URUMULI PHARMACY Ltd,HUYE,NGOMA BUTARE,1.000,0.349,1.000,true,true,true,true,,,,,,,local_evidence_only
193,PENIEL PHARMACY Ltd,NYARUGENGE,MUHIMA,KABASENGERE ZI,retail-2026-05-191,191,PENIEL PHARMACY Ltd,NYARUGENGE,MUHIMA KABASENGEREZI,0.980,0.425,1.000,true,true,false,true,+250788626230,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
194,PHARMACIE AVAM LTD,MUSANZE,MUHOZA,MPENGE,retail-2026-05-192,192,PHARMACIE AVAM LTD,MUSANZE,MUHOZA MPENGE,1.000,0.462,1.000,true,true,true,true,+250788568182,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf,musanze July-September 2026 duty roster,,,phone_from_public_evidence
195,PHARMACIE UNIQUE/KIYOVU,NYARUGENGE,NYARUGENGE,KIYOVU,retail-2026-05-193,193,PHARMACIE UNIQUE/KIYOVU,NYARUGENGE,NYARUGENGE KIYOVU,0.980,0.273,1.000,true,true,true,false,+250788309743,public_evidence_csv,https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=9&cHash=c13b44e19ea49a4663bff3b1213f2c66,MMI pharmacy partner directory page 9,,,phone_from_public_evidence
196,GLORY PHARMACY Ltd,RUHANGO,KINAZI,BURIMA,retail-2026-05-194,194,GLORY PHARMACY Ltd,RUHANGO,KINAZI BURIMA,1.000,0.293,1.000,true,true,true,true,+250788377407,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Ruhango_for_JULY-AUGUST-SEPTEMBER_2026.pdf,ruhango July-September 2026 duty roster,,,phone_from_public_evidence
197,MARLANDO PHARMACY Ltd,GASABO,BUMBOGO,MVUZO,retail-2026-05-195,195,MARLANDO PHARMACY Ltd,GASABO,BUMBOGO MVUZO,1.000,0.413,1.000,true,true,true,true,,,,,,,local_evidence_only
198,MORIAH PHARMACY Ltd,NYARUGENGE,KIMISAGARA,KIMISAGARA,retail-2026-05-196,196,MORIAH PHARMACY Ltd,NYARUGENGE,KIMISAGARA KIMISAGARA,1.000,0.429,1.000,true,true,true,true,,,,,,,local_evidence_only
200,PANACEA PHARMACY Ltd,KICUKIRO,KAGARAMA,RWAMPARA,retail-2026-05-198,198,PANACEA PHARMACY Ltd,KICUKIRO,KAGARAMA RWAMPARA,1.000,0.293,1.000,true,true,true,true,+250788649234,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
201,VOX PHARMACY Ltd,KAMONYI,RUNDA,MUGANZA,retail-2026-05-199,199,VOX PHARMACY Ltd,KAMONYI,RUNDA MUGANZA,1.000,0.566,1.000,true,true,true,true,+250781945678,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kamonyi July-September 2026 duty roster,,,phone_from_public_evidence
202,ALVIN PHARMACY Ltd,NYARUGENGE,NYAMIRAMBO,CYIVUGIZA,retail-2026-05-200,200,ALVIN PHARMACY Ltd,NYARUGENGE,NYAMIRAMBO CYIVUGIZA,1.000,0.307,1.000,true,true,true,true,+250783223444,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
203,BLIGE PHARMACY Limited,NYARUGENGE,NYARUGENGE,RWAMPARA,retail-2026-05-201,201,BLIGE PHARMACY Limited,NYARUGENGE,NYARUGENGE RWAMPARA,0.980,0.227,1.000,true,true,true,false,,,,,,,local_evidence_only
204,SINAPIS PHARMACY Ltd,MUSANZE,MUHOZA,KIGOMBE,retail-2026-05-202,202,SINAPIS PHARMACY Ltd,MUSANZE,MUHOZA KIGOMBE,1.000,0.400,1.000,true,true,true,true,,,,,,,local_evidence_only
205,ALLIANCE PHARMACY Ltd,KICUKIRO,NYARUGUNGA,KAMASHASHI,retail-2026-05-203,203,ALLIANCE PHARMACY Ltd,KICUKIRO,NYARUGUNGA KAMASHASHI,1.000,0.353,1.000,true,true,true,true,+250788382424,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
206,GETWELL PHARMACY LTD,GASABO,KACYIRU,KAMUTWA,retail-2026-05-204,204,GETWELL PHARMACY LTD,GASABO,KACYIRU KAMUTWA,1.000,0.153,1.000,true,true,true,true,,,,,,,local_evidence_only
207,ISONGA PHARMCY Ltd,HUYE,NGOMA,BUTARE,retail-2026-05-205,205,ISONGA PHARMCY Ltd,HUYE,NGOMA BUTARE,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
208,JAYSON PHARMACY Ltd,KAYONZA,MUKARANGE,KAYONZA,retail-2026-05-206,206,JAYSON PHARMACY Ltd,KAYONZA,MUKARANGE KAYONZA,1.000,0.462,1.000,true,true,true,true,,,,,,,local_evidence_only
209,KARAME PHARMACY Ltd,GICUMBI,RUTARE,GATWARO,retail-2026-05-207,207,KARAME PHARMACY LTD,GICUMBI,RUTARE GATWARO,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
210,LA PROVIDENCE PHARMACY Ltd,MUHANGA,NYAMABUYE,GAHOGO,retail-2026-05-208,208,LA PROVIDENCE PHARMACY Ltd,MUHANGA,NYAMABUYE GAHOGO,1.000,0.354,1.000,true,true,true,true,,,,,,,local_evidence_only
211,LOGFRAME PHARMACY Ltd,RUBAVU,GISENYI,NENGO,retail-2026-05-209,209,LOGFRAME PHARMACY Ltd,RUBAVU,GISENYI NENGO,1.000,0.293,1.000,true,true,true,true,+250783127374,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf,rubavu July-September 2026 duty roster,,,phone_from_public_evidence
212,M.V PHARMACIE AGAHOZO Ltd,NGOMA,RUKIRA,BURIBA,retail-2026-05-167,167,M.V PHARMACIE AGAHOZO Ltd,NGOMA,RUKIRA BURIBA,1.000,0.000,1.000,true,true,true,true,,,,,,,local_evidence_only
214,MILA PHARMACY LTD,GATSIBO,KIRAMURUZI,AKABUGA,retail-2026-05-212,212,MILA PHARMACY LTD,GATSIBO,KIRAMURUZI AKABUGA,0.980,0.000,1.000,true,true,true,false,,,,,,,local_evidence_only
215,PHARMACIE FIDELE ISHAMI RYA KACYIRU,GASABO,KACYIRU,KAMATAMU,retail-2026-05-213,213,PHARMACIE FIDELE ISHAMI RYA KACYIRU,GASABO,KACYIRU KAMATAMU,1.000,0.293,1.000,true,true,true,true,+250788381040,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
216,PHARMACIE ILLUPHARMA,KAMONYI,RUNDA,MUGANZA,retail-2026-05-214,214,PHARMACIE ILLUPHARMA,KAMONYI,RUNDA MUGANZA,1.000,0.209,1.000,true,true,true,true,+250781512783,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kamonyi July-September 2026 duty roster,,,phone_from_public_evidence
217,PHARMACIE MUNYANA Ltd,KICUKIRO,GIKONDO,KANSEREGE,retail-2026-05-215,215,PHARMACIE MUNYANA Ltd,KICUKIRO,GIKONDO KANSEREGE,0.980,0.393,1.000,true,true,true,false,,,,,,,local_evidence_only
218,VICTORY PHARMACY NYAMABUYE BRANCH,MUHANGA,NYAMABUYE,GAHOGO,retail-2026-05-216,216,VICTORY PHARMACY NYAMABUYE BRANCH,MUHANGA,NYAMABUYE GAHOGO,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
219,S-HIRWA PHARMACY Ltd,KAMONYI,RUNDA,RUYENZI,retail-2026-05-217,217,S-HIRWA PHARMACY Ltd,KAMONYI,RUNDA RUYENZI,1.000,0.349,1.000,true,true,true,true,+250788560719,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kamonyi_District_JULY-AUGUST-SEPTEMBER_2026.pdf,kamonyi July-September 2026 duty roster,,,phone_from_public_evidence
220,ALEK PHARMA Ltd,KICUKIRO,MASAKA,GITAGARA,retail-2026-05-218,218,ALEK PHARMA Ltd,KICUKIRO,MASAKA GITAGARA,0.980,0.324,1.000,true,true,true,false,+250788263986,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
221,ANCATHUS PHARMACY Ltd,RULINDO,BASE,RWAMAHWA,retail-2026-05-219,219,ANCATHUS PHARMACY Ltd,RULINDO,BASE RWAMAHWA,1.000,0.540,1.000,true,true,true,true,,,,,,,local_evidence_only
223,EMMA SANITAS PHARMACY LTD,BUGESERA,NYAMATA,NYAMATA,retail-2026-05-221,221,EMMA SANITAS PHARMACY LTD,BUGESERA,NYAMATA NYAMATA,1.000,0.442,1.000,true,true,true,true,+250788672252,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf,bugesera July-September 2026 duty roster,,,phone_from_public_evidence
224,GOOD SAMARITAN PHARMACY Limited,KAMONYI,RUNDA,RUGOZI,retail-2026-05-222,222,GOOD SAMARITAN PHARMACY Limited,KAMONYI,RUNDA RUGOZI,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
225,MEREPHARMA LTD,GASABO,KIGARAMA,KARUGIRA,retail-2026-05-223,223,MEREPHARMA LTD,GASABO,KIGARAMA KARUGIRA,1.000,0.153,1.000,true,true,true,true,,,,,,,local_evidence_only
226,MORGAN PHARMACY LTD,NGORORERO,NGORORERO,RUSUSA,retail-2026-05-224,224,MORGAN PHARMACY LTD,NGORORERO,NGORORERO RUSUSA,1.000,0.293,1.000,true,true,true,true,+250788648388,public_evidence_csv,https://www.mmi.gov.rw/partners/pharmacies?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5BcurrentPage%5D=7&cHash=4b5654186942a224cb29095eb15c3bd4,MMI pharmacy partner directory page 7,,,phone_from_public_evidence
227,NGIRA PHARMACY Ltd,NYARUGENGE,KIGALI,NYABUGOGO,retail-2026-05-225,225,NGIRA PHARMACY Ltd,NYARUGENGE,KIGALI NYABUGOGO,1.000,0.293,1.000,true,true,true,true,,,,,,,local_evidence_only
228,PHARMACY MUSASA Ltd,GAKENKE,RULI,RULI,retail-2026-05-226,226,PHARMACY MUSASA Ltd,GAKENKE,RULI RULI,1.000,0.457,1.000,true,true,true,true,,,,,,,local_evidence_only
229,PHARMASAVE Ltd,GASABO,KACYIRU,KAMATAMU,retail-2026-05-227,227,PHARMASAVE Ltd,GASABO,KACYIRU KAMATAMU,1.000,0.300,1.000,true,true,true,true,+250788813444,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
230,GOODLIFE HEALTH AND BEAUTY BIRYOGO,NYARUGENGE,NYARUGENGE,BIRYOGO,retail-2026-05-228,228,GOODLIFE HEALTH AND BEAUTY BIRYOGO,NYARUGENGE,NYARUGENGE BIRYOGO,0.980,0.073,1.000,true,true,true,false,,,,,,,local_evidence_only
231,VICTORY PHARMACY MUHANGA BRANCH,MUHANGA,NYAMABUYE,GAHOGO,retail-2026-05-229,229,VICTORY PHARMACY MUHANGA BRANCH,MUHANGA,NYAMABUYE GAHOGO,1.000,0.293,1.000,true,true,true,true,+250783043793,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf,muhanga July-September 2026 duty roster,,,phone_from_public_evidence
232,ALBOPHAR PHARMACY Ltd,NYARUGENGE,MUHIMA,AMAHORO,retail-2026-05-230,230,ALBOPHAR PHARMACY Ltd,NYARUGENGE,MUHIMA AMAHORO,1.000,0.273,1.000,true,true,true,true,+250788934915,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
233,PHARMACIE NEZA Ltd,NYARUGENGE,NYARUGENGE,KIYOVU,retail-2026-05-231,231,PHARMACIE NEZA Ltd,NYARUGENGE,NYARUGENGE KIYOVU,1.000,0.293,1.000,true,true,true,true,+250788513223,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
234,KEMI PHARMACY Ltd,MUHANGA,SHYOGWE,KININI,retail-2026-05-232,232,KEMI PHARMACY Ltd,MUHANGA,SHYOGWE KININI,1.000,0.480,1.000,true,true,true,true,+250787614967,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf,muhanga July-September 2026 duty roster,,,phone_from_public_evidence
235,KUNDWA PHARMACY Ltd,KICUKIRO,GIKONDO,KANSEREGE,retail-2026-05-233,233,KUNDWA PHARMACY Ltd,KICUKIRO,GIKONDO KANSEREGE,1.000,0.429,1.000,true,true,true,true,+250787070327,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
236,TWIZERE PHARMACY Ltd,RUBAVU,KANAMA,MAHOKO,retail-2026-05-234,234,TWIZERE PHARMACY Ltd,RUBAVU,KANAMA MAHOKO,1.000,0.293,1.000,true,true,true,true,+250792080966,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf,rubavu July-September 2026 duty roster,,,phone_from_public_evidence
237,VIVA PHARMACY Ltd,HUYE,NGOMA,BUTARE,retail-2026-05-235,235,VIVA PHARMACY Ltd,HUYE,NGOMA BUTARE,1.000,0.000,1.000,true,true,true,true,+250782172937,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf,huye July-September 2026 duty roster,,,phone_from_public_evidence
238,VIVA PHARMACY Ltd,HUYE,NGOMA,BUTARE,retail-2026-05-235,235,VIVA PHARMACY Ltd,HUYE,NGOMA BUTARE,1.000,0.000,1.000,true,true,true,true,+250782172937,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf,huye July-September 2026 duty roster,,,phone_from_public_evidence
239,SALAMA-ACCURX PHARMACY LTD,GASABO,REMERA,RUKIRI II,retail-2026-05-237,237,SALAMA -ACCURX PHARMACY LTD,GASABO,REMERA RUKIRI II,1.000,0.073,1.000,true,true,true,true,+250782392057,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
240,KARO ENTERPRISES Ltd,NYARUGENGE,NYARUGENGE,KIYOVU,retail-2026-05-238,238,KARO ENTERPRISES Ltd,NYARUGENGE,NYARUGENGE KIYOVU,0.980,0.273,1.000,true,true,true,false,,,,,,,local_evidence_only
241,MENIPHAR LTD,KICUKIRO,KANOMBE,KABEZA,retail-2026-05-239,239,MENIPHAR LTD,KICUKIRO,KANOMBE KABEZA,1.000,0.153,1.000,true,true,true,true,+250788771881,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
242,OMNICARE Ltd,GASABO,REMERA,RUKIRI I,retail-2026-05-240,240,OMNICARE Ltd,GASABO,REMERA RUKIRI I,1.000,0.273,1.000,true,true,true,true,,,,,,,local_evidence_only
243,PHARMACIE REMED Ltd,NYARUGENGE,NYARUGENGE,BIRYOGO,retail-2026-05-241,241,PHARMACIE REMED Ltd,NYARUGENGE,NYARUGENGE BIRYOGO,1.000,0.227,1.000,true,true,true,true,+250788628068,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
244,VIDA PHARMACY Ltd,GASABO,RUSORORO,KABUGA I,retail-2026-05-242,242,VIDA PHARMACY Ltd,GASABO,RUSORORO KABUGA I,1.000,0.353,1.000,true,true,true,true,+250788802917,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
245,VISION MENIPHAR2 Ltd,KICUKIRO,GAHANGA,GAHANGA,retail-2026-05-243,243,VISION MENIPHAR2 Ltd,KICUKIRO,GAHANGA GAHANGA,1.000,0.153,1.000,true,true,true,true,+250788771881,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
246,AUX PHARMACY Ltd,RWAMAGANA,FUMBWE,NYAGASAMBU,retail-2026-05-244,244,AUX PHARMACY Ltd,RWAMAGANA,FUMBWE NYAGASAMBU,1.000,0.493,1.000,true,true,true,true,+250782522630,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf,rwamagana July-September 2026 duty roster,,,phone_from_public_evidence
247,BALSAM PHARMACY Ltd,KICUKIRO,NIBOYE,GATARE,retail-2026-05-245,245,BALSAM PHARMACY Ltd,KICUKIRO,NIBOYE GATARE,1.000,0.420,1.000,true,true,true,true,+250785864759,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf,kigali July-September 2026 duty roster,,,phone_from_public_evidence
248,VIVA PHARMACY HUYE,HUYE,NGOMA,BUTARE,retail-2026-05-246,246,VIVA PHARMACY HUYE,HUYE,NGOMA BUTARE,1.000,0.073,1.000,true,true,true,true,+250782172937,public_evidence_csv,https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Huye_District_JULY-AUGUST-SEPTEMBER_2026.pdf,huye July-September 2026 duty roster,,,phone_from_public_evidence
249,ABBA PHARMACY LTD,RUBAVU,RUGERERO,RUGERERO,retail-2026-05-247,247,ABBA PHARMACY LTD,RUBAVU,RUGERERO RUGERERO,0.980,0.410,1.000,true,true,true,false,,,,,,,local_evidence_only
250,AMINADAB PHARMACY LTD,MUSANZE,CYUVE,RWEBEYA,retail-2026-05-248,248,AMINADAB PHARMACY LTD,MUSANZE,CYUVE RWEBEYA,1.000,0.426,1.000,true,true,true,true,,,,,,,local_evidence_only
251,AMINA’S PHARMACY LTD,GASABO,REMERA,NYABISINDU,retail-2026-05-249,249,AMINA’S PHARMACY LTD,GASABO,REMERA NYABISINDU,1.000,0.395,1.000,true,true,true,true,,,,,,,local_evidence_only
